city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
Dalvik,65.97,-18.53,-1,63,90,3.6
Dunedin,-45.87,170.5,16.67,70,100,8.13
Nokha,27.6,73.42,37.5,14,70,4.12
Baturaja,-4.13,104.17,30.31,75,98,0.83
Kodinsk,58.69,99.18,8.63,50,0,0.98
Camopi,3.17,-52.32,23.04,91,100,1.21
Alofi,-19.06,-169.92,24,83,0,1.5
Atotonilquillo,20.4,-103.13,18,34,5,2.1
Bada,51.39,109.87,14.41,26,55,4.4
Tiznit Province,29.58,-9.5,14.61,64,100,2.11
Theodoriana,39.44,21.21,16.67,58,40,1.21
Kayerkan,69.35,87.76,-7,92,75,10
Praia,14.92,-23.51,21,83,20,3.6
Saint-Augustin,51.23,-58.65,-4.7,95,9,4.36
Maningrida,-12.07,134.27,27.53,82,100,3.56
Camalú,30.85,-116.07,12.78,67,50,3.64
Adrar,20.5,-10.07,25.67,24,0,6.25
Mahon,39.89,4.27,16,82,24,4.1
Rongcheng,30.63,117.85,17.78,54,0,3.78
Constitución,-35.33,-72.42,10.02,72,0,2.84
Burdur,37.72,30.29,13,54,15,1.5
Killybegs,54.63,-8.45,7.22,95,100,0.89
Maceió,-9.67,-35.74,25.89,82,60,2.56
Yibin,28.77,104.62,22.5,36,36,2.59
Talaya,61.38,152.75,-9.24,88,94,1.02
Murray Bridge,-35.12,139.27,17.22,62,100,1.79
Neryungri,56.67,124.65,0.19,70,100,4.38
Eureka,40.8,-124.16,10.56,93,90,2.6
Cedar Falls,42.53,-92.45,8.89,100,90,2.6
Kyshtovka,56.55,76.63,6.34,77,80,4.24
Kismayo,-0.36,42.55,31.11,62,84,4.8
La Palma,33.85,-118.05,15.56,82,90,1.5
Hirado,33.36,129.55,13,82,75,8.2
Chapais,49.78,-74.85,-9,85,1,2.6
Buchanan,5.88,-10.05,29.11,74,9,0.74
Mugur-Aksy,50.35,90.5,6.28,25,17,1.66
Sovetskiy,61.36,63.58,7.93,72,100,2.86
Sisimiut,66.94,-53.67,3.16,75,100,4.29
Asheville,35.6,-82.55,8.33,52,1,1.6
Godfrey,38.96,-90.19,16,51,90,3.6
Ko Samui,9.54,99.94,32,66,20,4.1
Latung,5.5,120.88,28.52,69,0,2.12
Vrdy,49.92,15.47,14.44,50,0,2.1
Anapskaya,44.89,37.38,11,43,0,6
Turbat,26,63.04,36.09,11,5,5.05
Zharkent,44.16,80,23.89,16,50,2.84
Kavaratti,10.57,72.64,29.48,69,75,2.84
Pouso Alegre,-22.23,-45.94,13.89,92,2,0.71
Riyadh,24.69,46.72,23,31,75,5.1
Ofakim,31.31,34.62,19.44,68,0,0.45
Saýat,38.78,63.88,17,72,90,3.1
Broken Hill,-31.95,141.43,18,27,52,3.6
Abnūb,27.27,31.15,24.3,24,0,5.27
Cap Malheureux,-19.98,57.61,29,66,40,8.7
